Date,Open,High,Low,Close,Adj Close,Volume
22/6/2022,234.503326,246.833328,233.82666,236.08667,236.08667,101107500
23/6/2022,237.906662,239.316666,228.636673,235.070007,235.070007,104202600
24/6/2022,237.470001,246.066666,236.08667,245.706665,245.706665,95770800
27/6/2022,249.366669,252.070007,242.566666,244.919998,244.919998,89178300
28/6/2022,244.483337,249.970001,232.343338,232.66333,232.66333,90391200
29/6/2022,230.5,231.17334,222.273331,228.490005,228.490005,82897200
30/6/2022,224.509995,229.456665,218.863327,224.473328,224.473328,94600500
1/7/2022,227,230.229996,222.119995,227.263336,227.263336,74460300
5/7/2022,223,233.146667,216.166672,233.066666,233.066666,84581100
6/7/2022,230.779999,234.563339,227.186661,231.733337,231.733337,71853600
7/7/2022,233.919998,245.363327,232.210007,244.543335,244.543335,81930600
8/7/2022,242.333328,254.979996,241.160004,250.763336,250.763336,101854200
11/7/2022,252.103333,253.063339,233.626663,234.343338,234.343338,99241200
12/7/2022,236.846664,239.773331,228.369995,233.070007,233.070007,87930900
13/7/2022,225.5,242.059998,225.03334,237.039993,237.039993,97954500
14/7/2022,234.896667,238.653336,229.333328,238.313339,238.313339,78557400
15/7/2022,240,243.623337,236.889999,240.066666,240.066666,69683100
18/7/2022,244.936661,250.516663,239.603333,240.546661,240.546661,82537500
19/7/2022,245,247.139999,236.976669,245.529999,245.529999,80890200
20/7/2022,246.78334,250.66333,243.483337,247.5,247.5,88864200
21/7/2022,255.106674,273.266663,254.866669,271.706665,271.706665,142032300
22/7/2022,276.220001,280.786682,270.713318,272.243347,272.243347,103472700
25/7/2022,272.216675,274.146667,267.399994,268.433319,268.433319,64073400
26/7/2022,266.513336,267.309998,256.263336,258.859985,258.859985,66820800
27/7/2022,263.809998,275.926666,261.790009,274.820007,274.820007,88110000
28/7/2022,280.066681,283.299988,272.799988,280.899994,280.899994,84723000
29/7/2022,280.700012,298.320007,279.100006,297.149994,297.149994,95313000
1/8/2022,301.276672,311.876678,295,297.276672,297.276672,117042900
2/8/2022,294.003326,307.833344,292.666656,300.58667,300.58667,95577600
3/8/2022,305,309.549988,301.149994,307.396667,307.396667,80091000
4/8/2022,311,313.606659,305,308.633331,308.633331,72256200
5/8/2022,302.670013,304.606659,285.543335,288.170013,288.170013,113172900
8/8/2022,295,305.200012,289.08667,290.42334,290.42334,98994000
9/8/2022,290.293335,292.396667,279.353333,283.333344,283.333344,86244600
10/8/2022,297.066681,297.51001,283.369995,294.356659,294.356659,94918800
11/8/2022,296.513336,298.236664,285.833344,286.630005,286.630005,70155000
12/8/2022,289.416656,300.160004,285.033325,300.029999,300.029999,79657200
15/8/2022,301.786682,313.133331,301.230011,309.320007,309.320007,89359200
16/8/2022,311.666656,314.666656,302.883331,306.563324,306.563324,88136400
17/8/2022,303.396667,309.656677,300.033325,303.996674,303.996674,68766000
18/8/2022,306,306.5,301.853333,302.869995,302.869995,47500500
19/8/2022,299,300.359985,292.5,296.666656,296.666656,61395300
22/8/2022,291.91333,292.399994,286.296661,289.91333,289.91333,55843200
23/8/2022,291.453339,298.82666,287.92334,296.453339,296.453339,63984900
24/8/2022,297.563324,303.646667,296.5,297.09668,297.09668,57259800
25/8/2022,302.359985,302.959991,291.600006,296.070007,296.070007,53230000
26/8/2022,297.429993,302,287.470001,288.089996,288.089996,57163900
29/8/2022,282.829987,287.73999,280.700012,284.820007,284.820007,41864700
30/8/2022,287.869995,288.480011,272.649994,277.700012,277.700012,50541800
31/8/2022,280.619995,281.25,271.809998,275.609985,275.609985,52107300
1/9/2022,272.579987,277.579987,266.149994,277.160004,277.160004,54287000
2/9/2022,281.070007,282.350006,269.079987,270.209991,270.209991,50890100
6/9/2022,272.679993,275.98999,265.73999,274.420013,274.420013,55860000
7/9/2022,273.100006,283.839996,272.269989,283.700012,283.700012,50028900
8/9/2022,281.299988,289.5,279.76001,289.26001,289.26001,53713100
9/9/2022,291.670013,299.850006,291.25,299.679993,299.679993,54338100
12/9/2022,300.720001,305.48999,300.399994,304.420013,304.420013,48674600
13/9/2022,292.899994,297.399994,290.399994,292.130005,292.130005,68229600
14/9/2022,292.23999,306,291.640015,302.609985,302.609985,72628700
15/9/2022,301.829987,309.119995,300.720001,303.75,303.75,64795500
16/9/2022,299.609985,303.709991,295.600006,303.350006,303.350006,87087800
19/9/2022,300.089996,309.839996,297.799988,309.070007,309.070007,60231200
20/9/2022,306.910004,313.329987,305.579987,308.730011,308.730011,61642800
21/9/2022,308.290009,313.799988,300.630005,300.799988,300.799988,62555700
22/9/2022,299.859985,301.290009,285.820007,288.589996,288.589996,70545400
23/9/2022,283.089996,284.5,272.820007,275.329987,275.329987,63748400
26/9/2022,271.829987,284.089996,270.309998,276.01001,276.01001,58076900
27/9/2022,283.839996,288.670013,277.51001,282.940002,282.940002,61925200
28/9/2022,283.079987,289,277.570007,287.809998,287.809998,54664800
29/9/2022,282.76001,283.649994,265.779999,268.209991,268.209991,77620600
30/9/2022,266.149994,275.570007,262.470001,265.25,265.25,67726600
3/10/2022,254.5,255.160004,241.009995,242.399994,242.399994,98363500
4/10/2022,250.520004,257.5,242.009995,249.440002,249.440002,109578500
5/10/2022,245.009995,246.669998,233.270004,240.809998,240.809998,86982700
6/10/2022,239.440002,244.580002,235.350006,238.130005,238.130005,69298400
7/10/2022,233.940002,234.570007,222.020004,223.070007,223.070007,83916800
10/10/2022,223.929993,226.990005,218.360001,222.960007,222.960007,67925000
11/10/2022,220.949997,225.75,215,216.5,216.5,77013200
12/10/2022,215.330002,219.300003,211.509995,217.240005,217.240005,66860700
13/10/2022,208.300003,222.990005,206.220001,221.720001,221.720001,91483000
14/10/2022,224.009995,226.259995,204.160004,204.990005,204.990005,94124500
17/10/2022,210.039993,221.860001,209.449997,219.350006,219.350006,79428800
18/10/2022,229.5,229.820007,217.25,220.190002,220.190002,75891900
19/10/2022,219.800003,222.929993,217.779999,222.039993,222.039993,66571500
20/10/2022,208.279999,215.550003,202,207.279999,207.279999,117798100
21/10/2022,206.419998,214.660004,203.800003,214.440002,214.440002,75713800
24/10/2022,205.820007,213.5,198.589996,211.25,211.25,100446800
25/10/2022,210.100006,224.350006,210,222.419998,222.419998,96507900
26/10/2022,219.399994,230.600006,218.199997,224.639999,224.639999,85012500
27/10/2022,229.770004,233.809998,222.850006,225.089996,225.089996,61638800
